sample_id,status,elapsed_sec,annual_file,n_years,notes,mean_GPP,mean_NEP,mean_ER,mean_NPP
110,success,5.2,sample_0110/LHP_20250919_annual.txt,10,,1.1179999999999999,0.10980000000000001,1.0083,0.7026999999999999
111,success,5.2,sample_0111/LHP_20250919_annual.txt,10,,1.1179999999999999,0.10980000000000001,1.0083,0.7026999999999999
112,success,5.1,sample_0112/LHP_20250919_annual.txt,10,,1.1179999999999999,0.10980000000000001,1.0083,0.7026999999999999
113,success,3.1,sample_0113/LHP_20250919_annual.txt,10,,1.1138,0.1099,1.0041,0.7
114,success,5.1,sample_0114/LHP_20250919_annual.txt,10,,1.1846999999999999,0.1152,1.0693,0.7464000000000001
115,success,5.2,sample_0115/LHP_20250919_annual.txt,10,,1.182,0.11339999999999999,1.0687,0.7383
116,success,4.4,sample_0116/LHP_20250919_annual.txt,10,,35.237700000000004,-7.7789,43.0164,24.5297
117,success,4.4,sample_0117/LHP_20250919_annual.txt,10,,33.4797,-7.3443,40.8238,23.2629
118,success,4.4,sample_0118/LHP_20250919_annual.txt,10,,33.4797,-7.348999999999999,40.8285,23.2629
119,success,4.4,sample_0119/LHP_20250919_annual.txt,10,,33.4797,-7.348999999999999,40.8285,23.2629
120,success,2.5,sample_0120/LHP_20250919_annual.txt,10,,33.3979,-7.3295,40.7275,23.2128
121,success,4.4,sample_0121/LHP_20250919_annual.txt,10,,33.4014,-7.3377,40.7391,23.2528
122,success,4.4,sample_0122/LHP_20250919_annual.txt,10,,33.4014,-7.3377,40.7391,23.2528
123,success,4.5,sample_0123/LHP_20250919_annual.txt,10,,3.3244,-0.3093,3.6336,2.1647
124,success,4.4,sample_0124/LHP_20250919_annual.txt,10,,3.3580999999999994,-0.30720000000000003,3.6653999999999995,2.1670000000000003
125,success,4.5,sample_0125/LHP_20250919_annual.txt,10,,3.3580999999999994,-0.3089,3.6671,2.1670000000000003
126,success,4.6,sample_0126/LHP_20250919_annual.txt,10,,3.3633,-0.3113,3.6746000000000003,2.1708
127,success,2.7,sample_0127/LHP_20250919_annual.txt,10,,3.3662,-0.0448,3.4108000000000005,1.1583
128,success,4.8,sample_0128/LHP_20250919_annual.txt,10,,3.3662,-0.0411,3.4071,1.1583
129,success,4.6,sample_0129/LHP_20250919_annual.txt,10,,3.7494,-0.0666,3.8159,1.437
130,success,5.9,sample_0130/LHP_20250919_annual.txt,10,,2.4059999999999997,-0.0123,2.4186,0.4614
131,success,5.7,sample_0131/LHP_20250919_annual.txt,10,,2.3861999999999997,-0.0079,2.3939,0.3504
132,success,5.8,sample_0132/LHP_20250919_annual.txt,10,,2.3398,-0.0067,2.3466,0.3258
133,success,3.8,sample_0133/LHP_20250919_annual.txt,10,,2.3398,-0.0067,2.3466,0.3258
134,success,5.6,sample_0134/LHP_20250919_annual.txt,10,,2.3403,-0.006500000000000001,2.3469,0.32530000000000003
135,success,5.8,sample_0135/LHP_20250919_annual.txt,10,,2.3403,-0.006500000000000001,2.3469,0.32530000000000003
136,success,5.8,sample_0136/LHP_20250919_annual.txt,10,,2.3403,-0.006500000000000001,2.3469,0.32530000000000003
137,success,5.6,sample_0137/LHP_20250919_annual.txt,10,,2.3403,-0.0040999999999999995,2.3446000000000002,0.32530000000000003
138,success,5.9,sample_0138/LHP_20250919_annual.txt,10,,2.3403,-0.0040999999999999995,2.3446000000000002,0.32530000000000003
139,success,3.9,sample_0139/LHP_20250919_annual.txt,10,,2.3851,-0.004399999999999999,2.3893999999999997,0.3231
