metric,name,mi
mean_NEP,over_acen_vc,0.8210242270747126
mean_NEP,over_cv_p,0.7934353486393455
mean_NEP,c3_rmc_s,0.7832803838445608
mean_NEP,c3_rmr_h,0.7684863100264214
mean_NEP,c3_ctmp_lfshd,0.7384757919258929
mean_NEP,c3_sla,0.7062366046888973
mean_NEP,tree_root_spt_b,0.6717578308207135
mean_NEP,tree_gs_b2,0.6183350046265794
mean_NEP,c3_rmc_h,0.5384933565103189
mean_NEP,soil_sr_lf,0.5060974110191305
mean_NEP,under_gss_b0,0.500669929474238
mean_NEP,over_str_et,0.4905035531128481
mean_NEP,tree_cmpcd0,0.4530120126577619
mean_NEP,soil_kml,0.4463399527663676
mean_NEP,soil_sr_lc,0.43073487777221375
mean_NEP,over_scttr,0.41745606490414566
mean_NEP,soil_sr_lr,0.405816530566554
mean_NEP,over_rfl_d,0.23096206019479393
mean_ER,c3_f_sz_s,1.5042303447160925
mean_ER,tree_sla,1.498507618902505
mean_ER,tree_dcd,1.474426760571985
mean_ER,c3_gs_b0,1.4725238171096593
mean_ER,c3_qtr0,1.461868998457599
mean_ER,tree_ctmp_lfshd,1.4562451472169207
mean_ER,tree_rmr_s,1.4561978756279104
mean_ER,over_acen_ko,1.4438395101581942
mean_ER,over_ke_d,1.4373562816171006
mean_ER,tree_root_spt_a,1.4332931230058132
mean_ER,tree_lc0,1.406146477165481
mean_ER,under_gss_b2,1.4056677607843096
mean_ER,tree_km_nstl,1.4055726594334204
mean_ER,c3_f_sz_r,1.401899829211706
mean_ER,tree_rgf,1.4005008101033938
mean_ER,soil_f_hm_i,1.3910563873126849
mean_ER,over_ko0,1.3726773563701649
mean_ER,tree_kmci,1.357168603535432
mean_ER,c3_tmin,1.350200801673997
mean_ER,soil_f_hm_p,1.3480024451552375
mean_ER,c3_rgf,1.3344030213665252
mean_ER,tree_tmin,1.3127105155875354
mean_ER,under_gss_b1,1.3107382901645714
mean_ER,c3_pmax,1.3058940751769303
mean_ER,c3_lr0,1.2965856128071065
mean_ER,over_kc0,1.2612881069636523
mean_ER,tree_rgr,1.2406291672195757
mean_ER,tree_gs_b1,1.237067183193887
mean_ER,tree_qtr0,1.1528002721455959
mean_ER,c3_tmax,1.1492321473906995
mean_ER,c3_topt,1.1453424759387452
mean_ER,tree_qtf0,1.1361205391861215
mean_ER,tree_rmc_h,1.1292157393148752
mean_ER,c3_rgr,1.1202346233675546
mean_ER,tree_rmf0,1.1187886928019728
mean_ER,tree_rmc_s,1.109642557444289
mean_ER,tree_lf0,1.1084283510289512
mean_ER,tree_lue,1.1073024760158088
mean_ER,tree_f_sz_s,1.106664426435501
mean_ER,soil_f_co2_lc,1.1060610141262286
mean_ER,tree_ctmp_lfdsp,1.102747924155115
mean_ER,over_acen_et,1.098959986916842
mean_ER,soil_kmh,1.0987472874412363
mean_ER,over_photocap_n0,1.0930025976440116
mean_ER,soil_kmsh,1.0928147101778618
mean_ER,c3_root_spt_a,1.0873527729982821
mean_ER,c3_lue,1.0866104648602604
mean_ER,c4_kmci,1.0864854353254774
mean_ER,tree_pmax,1.0831519480700822
mean_ER,c3_ctmp_lfdsp,1.0802396715901101
mean_ER,tree_topt,1.0782626994024713
mean_ER,over_gss_b1,1.0720229257521205
mean_ER,under_nc_ct,1.067450096687171
mean_ER,c3_lc0,1.06735204309165
mean_ER,tree_qtc0,1.0656288935866869
mean_ER,tree_lr0,1.0606522501128137
mean_ER,c3_alloc_abg,1.0565678836397134
mean_ER,soil_kmsl,1.049798096214004
